Year,Brand,Model,Lap Time I, RC,Tire II,Lap Time II,RC,Tire III,Lap Time III,RC,Country,MSRP (2022 USD),WHP,WTorque,Weight,P/W (kg/hp),Layout,Trans,Rating,_HD,Author,Source,Comments / Other Times,,,,,,,
2016,Abarth,124 Spider,,,,,,,,,Italy,"$35,343.00",177,271,1070,6.04519774,FR,MT,,L,?,link,,,,,,,,
2008,Abarth,500 EsseEsse,1:11.907,0,SM,1:11.065,1,,,,Italy,"$25,243.00",143,205,1025,7.167832168,FF,MT,3.5,L,Kunos,AC,,,,,,,,
2008,Abarth,500 EsseEsse,1:19.997,0,,,,,,,Italy,"$25,243.00",135,206,1092,8.088888889,FF,MT,,L,Abarth,irl,,,,,,,,
2017,Abarth,595 Pista,1:11.661,0,,,,,,,Italy,"$29,859.34",181,252,1025,5.662983425,FF,MT,3,L,Simaothekid,link,hp too high for whp,,,,,,,
1964,Abarth,595 SS,1:31.018,0,,,,,,,Italy,"$33,083.20",28,38,470,16.78571429,RR,MT,3,L,Kunos,AC,,,,,,,,
2009,Abarth,Punto,1:11.601,0,,,,,,,Italy,"$27,861.15",167,230,1260,7.54491018,FF,MT,3.5,L,Simaothekid,link,,,,,,,,
2011,Abarth,Punto Evo Supersport,1:06.951,3,,,,,,,Italy,"$34,585.94",179,280,1260,7.039106145,FF,MT,3.5,L,Simaothekid,link,"drives great, like a fwd mx5 cup but thats the issue as its too fast to be believed but a good tool to learn fwd",,,,,,,
1996,Acura,Integra LS (DC4),1:16.884,0,,,,,,,Japan (USDM),"$34,886.40",121,146,1199,9.909090909,FF,MT,2.5,L,American Touge Project,link,,,,,,,,
1999,Acura,Integra GS-R (DC4),1:11.081,0,,,,,,,Japan (USDM),"$37,293.13",165,165,1160,7.03030303,FF,MT,1.5,L,Skip & Abbo90,link,severe ffb issue,,,,,,,
2002,Acura,RSX Type-S,1:11.006,0,,,,,,,Japan (USDM),"$35,089.51",190,184,1205,6.342105263,FF,MT,3.5,L,101Creative & graveltrap,link,,,,,,,,
2002,Acura,RSX Type-S,1:10.531,1,,,,,,,Japan (USDM),"$35,089.51",170,164,1260,7.411764706,FF,MT,4,L,American Touge Project,link,reminded me of a real rsx (good thing),,,,,,,
1992,Acura,NSX,,,,,,,,,Japan (USDM),"$137,356.86",230,242,1334,5.8,MR,MT,,L,Siim Annuk et al.,RD,,,,,,,,
1994,Acura,NSX,1:06.829,0,,,,,,,Japan (USDM),"$137,356.86",232,248,1370,5.905172414,MR,MT,4.5,L,Dan Bucsa,link,an nsx with nonoverheating tires would u look at that,,,,,,,
1999,Acura,NSX Zanardi Ed.,,,,,,,,,Japan (USDM),"$156,823.00",246,259,1333,5.418699187,MR,MT,,L,Siim Annuk et al.,RD,,,,,,,,
2017,Acura,NSX (NC1),1:03.444,0,,,,,,,Japan (USDM),"$184,543.93",438,479,1725,3.938356164,M4,AT,3.5,L,"BLACK BOLT, han zhao, Jerry Wei",link,,,,,,,,
2007,Acura,TL Type-S,1:08.254,0,,,,,,,Japan (USDM),"$53,565.90",280,314,1613,5.760714286,FF,MT,2.5,L,ACR,link,,,,,,,,
2010,Acura,TSX V6,,,,,,,,,Japan (USDM),"$52,645.14",280,254,1574,5.621428571,FF,MT,,L,ACR,link,,,,,,,,
1955,Alfa Romeo,Giulletta Spider,,,,,,,,,Italy,,82,100,855,10.42682927,FR,MT,,L,Simaothekid,link,,,,,,,,
1965,Alfa Romeo,GTA,1:13.219,0,,,,,,,Italy,"$52,887.68",158,164,750,4.746835443,FR,MT,4.5,L,Kunos,AC (DP1),,,,,,,,
1967,Alfa Romeo,33 Stradale,1:06.837,0,,,,,,,Italy,"$150,745.72",194,166,700,3.608247423,MR,MT,4.5,L,Kunos,AC,very communicative and fun at the limit,,,,,,,
1967,Alfa Romeo,Montreal,1:10.963,0,,,,,,,Italy,"$60,847.79",171,222,1270,7.426900585,FR,MT,3.5,L,Dan Bucsa,link,,,,,,,,
1985,Alfa Romeo,GTV6,,,,,,,,,Italy,"$45,416.56",135,181,1210,8.962962963,FR,MT,,L,Markos Kass,link,,,,,,,,
1986,Alfa Romeo,Spider Quadrifoglio,,,,,,,,,Italy,"$52,964.89",111,144,965,8.693693694,FR,MT,,L,?,link,,,,,,,,
1989,Alfa Romeo,SZ,1:12.151,0,,,,,,,Italy,"$134,829.19",180,213,1260,7,FR,MT,3.5,L,GADU BoyZ Mod,Patreon,,,,,,,,
2013,Alfa Romeo,4C,1:06.775,0,SM,1:05.016,0,,,,Italy,"$67,352.20",215,341,925,4.302325581,MR,AT,4,L,Kunos,AC,fun baby supercar,,,,,,,
2019,Alfa Romeo,4C Spyder,,,,,,,,,Italy,"$82,059.07",228,340,1128,4.947368421,MR,AT,,L,LRAC Tuning,link,,,,,,,,
2007,Alfa Romeo,8C,,,,,,,,,Italy,"$409,643.27",386,418,1510,3.911917098,FR,AT,,L,GADU BoyZ Mod,Patreon,,,,,,,,
2007,Alfa Romeo,8C Competizione,1:06.099,0,,,,,,,Italy,"$409,643.27",385,416,1510,3.922077922,FR,AT,2.5,L,AC Cars Reworked,link,,,,,,,,
1985,Alfa Romeo,75 / Milano,1:11.108,2,,,,,,,Italy,"$34,724.43",181,246,1325,7.320441989,FR,MT,3.5,L,Mike Goulioumis,link,,,,,,,,
1992,Alfa Romeo,155 Q4,1:14.749,3,,,,,,,Italy,,138,446,1445,10.47101449,F4,MT,2.5,L,Velo,link,torque is completely inaccurate,,,,,,,
2006,Alfa Romeo,147 MK2,1:11.940,0,,,,,,,Italy,,158,188,1250,7.911392405,FF,MT,3.5,R,Simaothekid,link,,,,,,,,
2005,Alfa Romeo,Brera 3.2 Q4,1:09.817,0,,,,,,,Italy,"$58,703.77",253,320,1700,6.719367589,F4,MT,1,L,?,link,,,,,,,,
2003,Alfa Romeo,156 GTA,1:12.900,0,,,,,,,Italy,,242,277,1410,5.826446281,RR,MT,,L,Alfa Romeo,irl,,,,,,,,
2016,Alfa Romeo,Giulia Quadrifoglio,1:04.949,0,,,,,,,Italy,"$80,030.00",440,523,1595,3.625,FR,MT,3.5,L,AC,AC,,,,,,,,
2016,Alfa Romeo,Giulia Quadrifoglio,,,,,,,,,Italy,"$80,030.00",440,523,1595,3.625,FR,AT,,L,ACR,,,,,,,,,
2018,Alfa Romeo,Stelvio QV,,,,,,,,,Italy,"$88,720.00",440,523,1665,3.784090909,F4,AT,,L,Mesa,link,,,,,,,,
2021,Alfa Romeo,Giulia Quadrifoglio GTAm,1:03.900,0,MPSC2,0:58.432,3,,,,Italy,"$225,000.00",513,682,1595,3.109161793,FR,AT,3,L,MNBA,link,"torque seems a bit too high + had to test on ""Hypercar Road"" bc ""Pilot Cup 2"" were way too grippy felt like literal slot/f2 car",,,,,,,
2012,Alfa Romeo,Mito QV,1:12.919,0,SM,1:12.414,0,,,,Italy,"$38,699.31",156,216,1140,7.307692308,FF,MT,3.5,L,Kunos,AC,,,,,,,,
2014,Alfa Romeo,Giulietta QV,1:12.191,0,,,,,,,Italy,"$56,287.70",204,321,1390,6.81372549,FF,MT,3,L,Kunos,AC,,,,,,,,
2014,Alfa Romeo,Giulietta QV Launch Ed.,1:11.239,0,,,,,,,Italy,"$60,216.03",209,338,1390,6.650717703,FF,AT,3,L,Kunos,AC,,,,,,,,
1986,Alpina,B6 2.8 (E30),,,,,,,,,Germany,,143,200,1255,8.776223776,F4,MT,,L,ATS,link,,,,,,,,
1988,Alpina,C2 2.7 Touring XDrive (E30),,,,,,,,,Germany,,174,238,1300,7.471264368,F4,MT,,L,viper & abbo90,link,,,,,,,,
1992,Alpina,B6 3.5 (E30),,,,,,,,,Germany,,211,211,1125,5.331753555,FR,MT,,L,?,link,,,,,,,,
1995,Alpina,B3 3.0 Edition 30 (E36),,,,,,,,,Germany,,217,269,1300,5.99078341,FR,MT,,L,?,link,,,,,,,,
1995,Alpina,B8 4.0 (E36),,,,,,,,,Germany,,307,350,1375,4.478827362,FR,MT,,L,?,link,,,,,,,,
2012,Alpina,B3 S Bi-Turbo xDrive (F30),,,,,,,,,Germany,,396,595,1500,3.787878788,F4,AT,,L,MEHMET BATAR,link,,,,,,,,
2020,Alpina,D3 S (G20),,,,,,,,,Germany,,319,633,1950,6.112852665,FR,AT,,L,EX Mods,link,,,,,,,,
2012,Alpina,B5 Bi-Turbo (F10),,,,,,,,,Germany,,461,559,1970,4.273318872,FR,AT,,L,AssettoDrive,link,,,,,,,,
2016,Alpina,B5 Bi-Turbo Edition 50 (F10),,,,,,,,,Germany,,527,638,1970,3.738140417,FR,AT,,L,AssettoDrive,link,,,,,,,,
1984,Alpina,B7S Turbo Coupe (E24),,,,,,,,,Germany,,337,403,1460,4.332344214,FR,MT,,L,Assetto Garage (U. kodai),link,,,,,,,,
1961,Alpine,Renault A110 1600S,,,,,,,,,France,,108,145,650,6.018518519,RR,MT,,L,ぱんだ＆そーりゅー＆おさつべい,link,,,,,,,,
1990,Alpine,GTA V6 Turbo Le Mans,,,,,,,,,France,,,,,,,,,,,,,,,,,,,
2017,Alpine,A110 Premiere Ed.,1:04.444,0,,,,,,,France,"$57,385.00",216,290,1080,5,MR,AT,4.5,L,Lucac26,Youtube,"joy to drive, pretty model",,,,,,,
2017,Alpine,A110,1:05.04,0,,,,,,,France,"$57,385.00",234,317,1111,4.747863248,MR,AT,,L,Alpine,irl,,,,,,,,
1971,AMC,Javelin,,,,,,,,,USA,"$25,529.21",372,583,1475,3.965053763,FR,MT,,L,DV Gamemods,link,,,,,,,,
2009,Ariel,Atom 3 SC,1:00.971,0,,,,,,,Britain,"$101,467.67",261,242,595,2.279693487,MR,MT,4,R,101Creative (AO Mods),Patreon,very fast very evil wanted to kill me,,,,,,,
2008,Ariel,Atom V8,,,,,,,,,Britain,"$261,799.54",435,336,595,1.367816092,MR,MT,,R,Jandrovi,link,,,,,,,,
2012,Ascari,KZR1,1:02.844,0,,,,,,,Britain,,451,482,1135,2.516629712,MR,MT,4,R,101Creative (AO Mods),Patreon,the british are masochists and/or evil,,,,,,,
2012,Aston Martin,DBS,,,,,,,,,Britain,"$355,338.38",440,492,1620,3.681818182,FR,AT,,L,Markos Kass,link,,,,,,,,
2013,Aston Martin,Vanquish V12,,,,,,,,,Britain,"$358,776.32",497,568,1835,3.692152918,FR,AT,,L,Assettodrive,link,,,,,,,,
2017,Aston Martin,Vanquish V12S,,,,,,,,,Britain,"$381,477.24",557,510,1477,2.651705566,FR,AT,,L,SS,link,too light,,,,,,,
2018,Aston Martin,DB11,1:05.200,0,,,,,,,Britain,"$237,922.35",510,595,1770,3.470588235,FR,AT,2.5,R,?,link,,,,,,,,
2019,Aston Martin,DBS Superleggera,,,,,,,,,Britain,"$319,125.00",622,789,1767,2.840836013,FR,AT,,L,Chivas Autoart,link,,,,,,,,
1960,Aston Martin,DB4 GT,1:08.756,1,,,,,,,Britain,,229,279,1230,5.371179039,FR,MT,3.5,R,Velo,link,lap time seems too fast for vintage tires but not sure,,,,,,,
1962,Aston Martin,DB4 GT Zagato,1:08.157,1,,,,,,,Britain,,283,340,1269,4.48409894,FR,MT,2.5,R,Velo,link,,,,,,,,
1964,Aston Martin,DB5 Vantage S,,,,,,,,,Britain,,314,365,1414,4.503184713,FR,MT,,R,Kodai,link,,,,,,,,
1977,Aston Martin,V8 Vantage,,,,,,,,,Britain,,335,358,1740,5.194029851,FR,MT,,L,unknown (Assettoland),link,,,,,,,,
1977,Aston Martin,V8 Vantage S,,,,,,,,,Britain,,525,713,1740,3.314285714,FR,MT,,L,Kodai,link,,,,,,,,
1998,Aston Martin,Vantage V600,,,,,,,,,Britain,,509,648,1920,3.772102161,FR,MT,,L,JakubP,,,,,,,,,
