cID,compID,Year,Brand,Model,Lap Time I,RC I,Tire II,Lap Time II,RC II,Tire III,Lap Time III,RC III,Country,MSRP (2022 USD),WHP,WTQ,Weight,P/W (hp/t),Layout,Trans,Rating,DR,_HD,Author,Source,Comments / Other Times,,,,,,,,,,
1,0,2016,Abarth,124 Spider,,,,,,,,,Italy,"$35,343.00",177,271,1070,165.4205607,FR,MT,,2,L,?,link,,,,,,,,,,,
2,1,2008,Abarth,500 EsseEsse,1:12.997,0,,,,,,,Italy,"$25,243.00",135,206,1092,123.6263736,FF,MT,,3,L,Abarth,irl,,,,,,,,,,,
3,1,2008,Abarth,500 EsseEsse,1:11.907,0,SM,1:11.065,1,,,,Italy,"$25,243.00",143,205,1025,139.5121951,FF,MT,3.5,3,L,Kunos,AC,,,,,,,,,,,
4,0,2017,Abarth,595 Pista,1:11.661,0,,,,,,,Italy,"$29,859.34",181,252,1025,176.5853659,FF,MT,3,3,L,Simaothekid,link,hp too high for whp,,,,,,,,,,
5,0,1964,Abarth,595 SS,1:31.018,0,,,,,,,Italy,"$33,083.20",28,38,470,59.57446809,RR,MT,3,3,L,Kunos,AC,,,,,,,,,,,
6,0,2009,Abarth,Punto,1:11.601,0,,,,,,,Italy,"$27,861.15",167,230,1260,132.5396825,FF,MT,3.5,3,L,Simaothekid,link,,,,,,,,,,,
7,0,2011,Abarth,Punto Evo Supersport,1:06.951,3,,,,,,,Italy,"$34,585.94",179,280,1260,142.0634921,FF,MT,3.5,3,L,Simaothekid,link,"drives great, like a fwd mx5 cup but thats the issue as its too fast to be believed but a good tool to learn fwd",,,,,,,,,,
8,0,1996,Acura,Integra LS (DC4),1:16.884,0,,,,,,,Japan (USDM),"$34,886.40",121,146,1199,100.9174312,FF,MT,2.5,3,L,American Touge Project,link,,,,,,,,,,,
9,0,1999,Acura,Integra GS-R (DC4),1:11.081,0,,,,,,,Japan (USDM),"$37,293.13",165,165,1160,142.2413793,FF,MT,1.5,3,L,Skip & Abbo90,link,severe ffb issue,,,,,,,,,,
10,0,2001,Acura,Integra Type R,,,,,,,,,Japan (USDM),"$40,403.36",169,165,1200,140.8333333,FF,MT,,3,L,PedroBLR,link,,,,,,,,,,,
11,0,2002,Acura,RSX Type-S,,,,,,,,,Japan (USDM),"$35,089.51",181,226,1285,140.8560311,FF,MT,,3,L,PedroBLR,link,too much torque,,,,,,,,,,
12,0,2002,Acura,RSX Type-S,1:11.006,0,,,,,,,Japan (USDM),"$35,089.51",190,184,1205,157.6763485,FF,MT,3.5,3,L,101Creative & graveltrap,link,,,,,,,,,,,
13,0,2002,Acura,RSX Type-S,1:10.531,1,,,,,,,Japan (USDM),"$35,089.51",170,164,1260,134.9206349,FF,MT,4,3,L,American Touge Project,link,reminded me of a real rsx (good thing),,,,,,,,,,
14,0,1992,Acura,NSX,,,,,,,,,Japan (USDM),"$137,356.86",230,242,1334,172.4137931,MR,MT,,2,L,Siim Annuk et al.,RD,,,,,,,,,,,
15,0,1994,Acura,NSX,1:06.829,0,,,,,,,Japan (USDM),"$137,356.86",232,248,1370,169.3430657,MR,MT,4.5,2,L,Dan Bucsa,link,an nsx with nonoverheating tires would u look at that,,,,,,,,,,
16,0,1999,Acura,NSX Zanardi Ed.,,,,,,,,,Japan (USDM),"$156,823.00",246,259,1333,184.5461365,MR,MT,,2,L,Siim Annuk et al.,RD,,,,,,,,,,,
17,0,2017,Acura,NSX (NC1),1:03.444,0,,,,,,,Japan (USDM),"$184,543.93",438,479,1725,253.9130435,M4,AT,3.5,2,L,"BLACK BOLT, han zhao, Jerry Wei",link,,,,,,,,,,,
18,0,2007,Acura,TL Type-S,1:08.254,0,,,,,,,Japan (USDM),"$53,565.90",280,314,1613,173.5895846,FF,MT,2.5,4,L,ACR,link,,,,,,,,,,,
19,0,2010,Acura,TSX V6,,,,,,,,,Japan (USDM),"$52,645.14",280,254,1574,177.8907243,FF,MT,,4,L,ACR,link,,,,,,,,,,,
20,0,1955,Alfa Romeo,Giulletta Spider,,,,,,,,,Italy,"$36,274.36 ",82,100,855,95.90643275,FR,MT,,2,L,Simaothekid,link,,,,,,,,,,,
21,0,1967,Alfa Romeo,1750 Spider Veloce,,,,,,,,,Italy,"$42,058.32 ",111,170,999,111.1111111,FR,MT,,2,L,GeroDa74,,,,,,,,,,,,
22,0,1965,Alfa Romeo,GTA,1:13.219,0,,,,,,,Italy,"$52,887.68",158,164,750,210.6666667,FR,MT,4.5,2,L,Kunos,AC (DP1),,,,,,,,,,,
23,0,1967,Alfa Romeo,33 Stradale,1:06.837,0,,,,,,,Italy,"$150,745.72",194,166,700,277.1428571,MR,MT,4.5,2,L,Kunos,AC,very communicative and fun at the limit,,,,,,,,,,
24,0,1967,Alfa Romeo,Montreal,1:10.963,0,,,,,,,Italy,"$60,847.79",171,222,1270,134.6456693,FR,MT,3.5,2,L,Dan Bucsa,link,,,,,,,,,,,
25,0,1985,Alfa Romeo,GTV6,,,,,,,,,Italy,"$45,416.56",135,181,1210,111.5702479,FR,MT,,2,L,Markos Kass,link,,,,,,,,,,,
26,0,1986,Alfa Romeo,Spider Quadrifoglio,,,,,,,,,Italy,"$52,964.89",111,144,965,115.0259067,FR,MT,,2,L,?,link,,,,,,,,,,,
27,0,1989,Alfa Romeo,SZ,1:12.151,0,,,,,,,Italy,"$134,829.19",180,213,1260,142.8571429,FR,MT,3.5,2,L,GADU BoyZ Mod,Patreon,,,,,,,,,,,
28,0,2013,Alfa Romeo,4C,1:06.775,0,SM,1:05.016,0,,,,Italy,"$67,352.20",215,341,925,232.4324324,MR,AT,4,2,L,Kunos,AC,fun baby supercar,,,,,,,,,,
29,0,2019,Alfa Romeo,4C Spyder,,,,,,,,,Italy,"$82,059.07",228,340,1128,202.1276596,MR,AT,,2,L,LRAC Tuning,link,,,,,,,,,,,
30,0,2007,Alfa Romeo,8C,,,,,,,,,Italy,"$409,643.27",386,418,1510,255.6291391,FR,AT,,2,L,GADU BoyZ Mod,Patreon,,,,,,,,,,,
31,0,2007,Alfa Romeo,8C Competizione,1:06.099,0,,,,,,,Italy,"$409,643.27",385,416,1510,254.9668874,FR,AT,2.5,2,L,AC Cars Reworked,link,,,,,,,,,,,
32,0,1985,Alfa Romeo,75 / Milano,1:11.108,2,,,,,,,Italy,"$34,724.43",181,246,1325,136.6037736,FR,MT,3.5,4,L,Mike Goulioumis,link,,,,,,,,,,,
33,0,1992,Alfa Romeo,155 Q4,1:14.749,3,,,,,,,Italy,"$82,235.66",138,446,1445,95.5017301,F4,MT,2.5,4,L,Velo,link,torque is completely inaccurate,,,,,,,,,,
34,0,2001,Alfa Romeo,147 2.0 TS,1:17.860,0,,,,,,,Italy,"$45,203.41",129,158,1276,101.0971787,FF,MT,,3,R,Alfa Romeo,irl,,,,,,,,,,,
35,0,2005,Alfa Romeo,147 GTA,1:10.010,0,,,,,,,Italy,"$67,747.99",215,258,1394,154.2324247,FF,MT,,3,R,Alfa Romeo,irl,,,,,,,,,,,
36,0,2006,Alfa Romeo,147 MK2,1:11.940,1,,,,,,,Italy,"$45,203.41",158,188,1250,126.4,FF,MT,3.5,3,R,Simaothekid,link,,,,,,,,,,,
37,0,2005,Alfa Romeo,Brera 3.2 Q4,1:09.817,0,,,,,,,Italy,"$58,703.77",253,320,1700,148.8235294,F4,MT,1,3,L,?,link,,,,,,,,,,,
38,0,2012,Alfa Romeo,Mito QV,1:12.919,0,SM,1:12.414,0,,,,Italy,"$38,699.31",156,216,1140,136.8421053,FF,MT,3.5,3,L,Kunos,AC,,,,,,,,,,,
39,0,2014,Alfa Romeo,Giulietta QV,1:12.191,0,,,,,,,Italy,"$56,287.70",204,321,1390,146.7625899,FF,MT,3,5,L,Kunos,AC,,,,,,,,,,,
40,0,2014,Alfa Romeo,Giulietta QV Launch Ed.,1:11.239,0,,,,,,,Italy,"$60,216.03",209,338,1390,150.3597122,FF,AT,3,5,L,Kunos,AC,,,,,,,,,,,
41,0,2003,Alfa Romeo,156 GTA,1:12.900,0,,,,,,,Italy,"$60,216.03",242,277,1410,171.6312057,RR,MT,,4,L,Alfa Romeo,irl,,,,,,,,,,,
