Rank,Vehicle,Driver,Time,PS / KG
1.,Garage G-Force Kamikaze GR Yaris,Nobuteru Taniguchi,0:56.01,- / -
2.,Modified Toyota GR Yaris (Mk IV),Masahiro Sasaki,0:58.25,438 / 1065
3.,Modified Porsche 911 GT3 RS (991),Nobuteru Taniguchi,0:58.77,- / -
4.,Modified BMW M4,Nobuteru Taniguchi,0:59.06,578 / 1621
5.,Modified Porsche 911 GT3 RS (991),Keiichi Tsuchiya,0:59.14,- / 1370
6.,Nissan GT-R Nismo (R35),unknown,0:59.36,600 / 1744
7.,McLaren Senna (P15),unknown,1:00.12,800 / 1364
8.,Porsche 911 GT3,unknown,1:00.20,500 / 1475
9.,Radical SR4 1.2,Yuji Ide,1:00.29,197 / 530
10.,Modified BMW M4,Keiichi Tsuchiya,1:00.41,578 / 1621
11.,Porsche 911 GT3 RS (991),Akihiko Nakaya,1:00.70,500 / 1467
12.,Mercedes-Benz AMG GT R,unknown,1:00.73,585 / 1635
13.,Nissan Nismo R34 Z-Tune,unknown,1:01.15,500 / 1600
14.,Nissan GT-R (R35 570PS),unknown,1:01.19,570 / 1775
15.,Porsche 911 GT3 (991),unknown,1:01.34,476 / 1451
16.,Nissan GT-R (R35),unknown,1:01.34,480 / 1765
17.,Porsche 911 Turbo S,unknown,1:01.40,580 / 1603
18.,Nissan GT-R Nismo (R35),Akihiko Nakaya,1:01.53,600 / 1744
19.,Radical SR4 (250 PS),unknown,1:01.55,253 / -
20.,Gallardo Superleggera,unknown,1:01.60,530 / 1520
21.,Nissan GT-R Spec-V (R35),Naoki Hattori,1:01.74,486 / 1680
22.,Nissan GT-R (R35),Keiichi Tsuchiya,1:02.05,480 / 1765
23.,Audi R8 V10 Plus (Mk II),unknown,1:02.21,610 / 1637
24.,Ferrari 458 Italia,unknown,1:02.24,570 / 1529
25.,Porsche 911 Turbo S (991),unknown,1:02.35,560 / 1593
26.,Honda NSX (Mk II),Keiichi Tsuchiya,1:02.47,581 / 1770
27.,Nissan GT-R Spec-V (R35),unknown,1:02.48,486 / 1680
28.,Porsche 911 Carrera S,Seiji Ara,1:02.49,420 / 1489
29.,Chevrolet Corvette ZR1,unknown,1:02.55,647 / 1526
30.,Jaguar F-Type SVR,unknown,1:03.11,575 / 1814
31.,Gallardo LP550-2 Valentino Ba..,unknown,1:03.16,550 / 1500
32.,Porsche 911 Turbo S,unknown,1:03.23,530 / 1591
